iteration,lr,train_batch_size,gamma,n_optimiser_steps,max_grad_norm,episode_reward_mean_agents
9,0.0003,10,0.96,100,1.0,-574.4539184570312
0,0.0003,10,0.98,100,1.0,-203.77476501464844
1,0.0003,10,0.98,100,1.0,-403.55804443359375
2,0.0003,10,0.98,100,1.0,-471.5538635253906
3,0.0003,10,0.98,100,1.0,-415.55206298828125
4,0.0003,10,0.98,100,1.0,-523.2935180664062
5,0.0003,10,0.98,100,1.0,-569.4409790039062
6,0.0003,10,0.98,100,1.0,-580.4266967773438
7,0.0003,10,0.98,100,1.0,-596.2974853515625
8,0.0003,10,0.98,100,1.0,-574.9671020507812
9,0.0003,10,0.98,100,1.0,-574.4549560546875
0,0.0003,10,0.99,100,1.0,-203.77476501464844
1,0.0003,10,0.99,100,1.0,-403.57025146484375
2,0.0003,10,0.99,100,1.0,-471.55816650390625
3,0.0003,10,0.99,100,1.0,-416.6841735839844
4,0.0003,10,0.99,100,1.0,-523.2658081054688
5,0.0003,10,0.99,100,1.0,-569.44091796875
6,0.0003,10,0.99,100,1.0,-580.4278564453125
7,0.0003,10,0.99,100,1.0,-596.2982177734375
8,0.0003,10,0.99,100,1.0,-574.9679565429688
9,0.0003,10,0.99,100,1.0,-574.4556884765625
0,0.0003,10,0.99,20,1.0,-203.77476501464844
1,0.0003,10,0.99,20,1.0,-318.11468505859375
2,0.0003,10,0.99,20,1.0,-475.0442810058594
3,0.0003,10,0.99,20,1.0,-448.277099609375
4,0.0003,10,0.99,20,1.0,-288.0850524902344
5,0.0003,10,0.99,20,1.0,-390.61346435546875
6,0.0003,10,0.99,20,1.0,-503.48284912109375
7,0.0003,10,0.99,20,1.0,-443.13037109375
8,0.0003,10,0.99,20,1.0,-411.66278076171875
9,0.0003,10,0.99,20,1.0,-573.7962646484375
0,0.0003,10,0.99,40,1.0,-203.77476501464844
1,0.0003,10,0.99,40,1.0,-401.1222229003906
2,0.0003,10,0.99,40,1.0,-424.8938903808594
3,0.0003,10,0.99,40,1.0,-428.6399841308594
4,0.0003,10,0.99,40,1.0,-410.9339294433594
5,0.0003,10,0.99,40,1.0,-407.48504638671875
6,0.0003,10,0.99,40,1.0,-520.3717651367188
7,0.0003,10,0.99,40,1.0,-537.844482421875
8,0.0003,10,0.99,40,1.0,-524.0507202148438
9,0.0003,10,0.99,40,1.0,-561.2848510742188
0,0.0003,10,0.99,60,1.0,-203.77476501464844
1,0.0003,10,0.99,60,1.0,-413.44354248046875
2,0.0003,10,0.99,60,1.0,-470.7269592285156
3,0.0003,10,0.99,60,1.0,-402.56048583984375
4,0.0003,10,0.99,60,1.0,-373.8710632324219
5,0.0003,10,0.99,60,1.0,-443.6619567871094
6,0.0003,10,0.99,60,1.0,-539.58154296875
7,0.0003,10,0.99,60,1.0,-525.2965698242188
8,0.0003,10,0.99,60,1.0,-604.7634887695312
9,0.0003,10,0.99,60,1.0,-605.7750854492188
0,0.0003,10,0.99,80,1.0,-203.77476501464844
1,0.0003,10,0.99,80,1.0,-405.8179016113281
2,0.0003,10,0.99,80,1.0,-497.6531677246094
3,0.0003,10,0.99,80,1.0,-447.3431701660156
4,0.0003,10,0.99,80,1.0,-484.6822204589844
5,0.0003,10,0.99,80,1.0,-430.7023010253906
6,0.0003,10,0.99,80,1.0,-566.4136962890625
7,0.0003,10,0.99,80,1.0,-581.0840454101562
8,0.0003,10,0.99,80,1.0,-558.1246948242188
9,0.0003,10,0.99,80,1.0,-603.5171508789062
0,0.0003,10,0.99,100,1.0,-203.77476501464844
1,0.0003,10,0.99,100,1.0,-403.57025146484375
2,0.0003,10,0.99,100,1.0,-471.55816650390625
3,0.0003,10,0.99,100,1.0,-416.6841735839844
4,0.0003,10,0.99,100,1.0,-523.2658081054688
5,0.0003,10,0.99,100,1.0,-569.44091796875
6,0.0003,10,0.99,100,1.0,-580.4278564453125
7,0.0003,10,0.99,100,1.0,-596.2982177734375
8,0.0003,10,0.99,100,1.0,-574.9679565429688
9,0.0003,10,0.99,100,1.0,-574.4556884765625
0,0.0003,10,0.99,120,1.0,-203.77476501464844
1,0.0003,10,0.99,120,1.0,-415.29571533203125
2,0.0003,10,0.99,120,1.0,-355.3055725097656
3,0.0003,10,0.99,120,1.0,-464.1759338378906
4,0.0003,10,0.99,120,1.0,-504.3076171875
5,0.0003,10,0.99,120,1.0,-544.9532470703125
6,0.0003,10,0.99,120,1.0,-601.6923828125
7,0.0003,10,0.99,120,1.0,-485.39898681640625
8,0.0003,10,0.99,120,1.0,-572.9700317382812
9,0.0003,10,0.99,120,1.0,-580.8084716796875
